05.06.98-exp-1	هی … اسباب‌بازی
1-1153-183	این یه چراغ جادوی معمولی نیست
1-1153-184	یه بار زندگی یه مرد جوون رو عوض کرد
1-1153-185	یه مرد جوان که مثل این چراغ جادو بیش‌ترین چیزی بود که به نظر می‌اومد
1-1153-186	الماس بریده نشده
1-1153-187	شاید دوست داشته باشی افسانه رو بشنوی ؟
1-1153-188	تو یه شب تاریک شروع می‌شه
1-1153-189	جایی که یه مرد شریر وایستاده
1-1153-19	آن‌ها می‌توانند صدای شما را بشنوند ، این چیزیه که باید برای زنده ماندن بدانید
1-1153-190	با یه هدف تاریک
1-1153-191	] شیهه‌ی اسب [
1-1153-192	دیر کردی
1-1153-193	یه دنیا معذرت
1-1153-194	پس داریش ؟
1-1153-195	باید یه چند تا گلو می‌شکافتم اما گرفتمش
1-1153-196	گنج
1-1153-197	به من اعتماد کن ، دوست خشم‌گین من
1-1153-198	تو سهمت رو خواهی گرفت ، خواهی گرفت
1-1153-199	سریعاً ، دنبالش برو
1-1153-2	فروش‌گاه لارکین ، داروخانه‌ی لوازم آرایشی و بهداشتی
1-1153-20	شهر نیویورک بسته شد
1-1153-200	سریع‌تر
1-1153-201	] زوزه کشیدن باد [
1-1153-202	سرانجام ، بعد از سال‌ها جست‌وجو
1-1153-203	غار شگفت‌انگیز رو پیدا کردم
1-1153-204	وای خدا
1-1153-205	حالا یادت باشه چراغ جادو رو برام بیاری
1-1153-206	مابقی گنج واسه تو اما چراغ جادو واسه منه
1-1153-207	این یارو رو از کجا پیدا کردی ؟
1-1153-208	ساکت
1-1153-209	کی مزاحم چرت من شده ؟
1-1153-21	مرگ بیش از صد هزار نفر در شانگ‌های
1-1153-210	من کاظمم
1-1153-211	یه دزد فروتن
1-1153-212	این رو بدون
1-1153-213	تنها یک نفر می‌تونه بره داخل
1-1153-214	کسی که ارزش من رو داشته باشه
1-1153-215	الماس تراش‌نخورده
1-1153-216	منتظر چی هستی ؟ ادامه بده
1-1153-217	الماس تراش‌نخورده تو رو می‌طلبه
1-1153-218	نمی‌تونم باورکنم ، من فقط باور نمی‌کنم
1-1153-219	ما هیچ‌وقت اون چراغ جادو رو به‌دست نمی‌آریم
1-1153-22	به‌خاطر صداست ، ساکت بمانید ، زنده بمانید
1-1153-220	فقط فراموشش کن ، به این نگاه کن
1-1153-221	من خیلی دل‌خورم که پرهام ریخت
1-1153-222	صبور باش ، ایاگو ، صبور باش
1-1153-223	مشخص بود که کاظم آدم احمقیه
1-1153-224	اوه ، یه شگفتی بزرگه
1-1153-225	فکر کنم داشتم سکته‌ی قلبی می‌کردم و از این شگفتی داشتم می‌مردم
1-1153-226	ما داریم چی‌کار می‌کنیم ؟ … ما این‌جا یه مشکل بزرگ داریم یه مشکله
1-1153-227	. فقط یه نفر می‌تونه وارد بشه
1-1153-228	من باید پیداش کنم … من
1-1153-229	دزد وایستا
1-1153-23	! شما تنها هستید
1-1153-230	می‌خوام دستات رو به عنوان یادگاری داشته باشم ، . موش خیابونی
1-1153-231	همه‌ش به‌خاطر یه قرص نان ؟
1-1153-232	] جیغ [
1-1153-233	نگهبان : اون‌جاست ، به این راحتی نمی‌تونی فرار کنی
1-1153-234	فکر می‌کنی راحت بود ؟
1-1153-235	] خنده [
1-1153-236	شما دو تا از اون‌ور ، تو هم با من بیا
1-1153-237	باید پیداش کنیم ، صبح به‌خیر خانوما
1-1153-238	امروز یه خورده زودتر برای خودت دردسر درست کردی علاءالدین ؟
1-1153-239	. دردسر ؟ به هیچ عنوان ، زمانی تو دردسر می‌افتی که گیر افتاده باشی
1-1153-24	به زیرزمین بروید
1-1153-240	گرفتمش ، حالا تو دردسر افتادم
1-1153-241	… و این بار
1-1153-242	] جیغ میمون [
1-1153-243	به موقع بود ، ابو ، مثل همیشه
1-1153-244	ابو ، بیا . بزن بریم
1-1153-245	یه پرش جلوی خط فقر لازمه
1-1153-246	تاب خوردن جلوی شمشیر
1-1153-247	تنها چیزی رو می دزدم که توانایی به‌دست آوردنش روندارم
1-1153-248	اون همه‌چیزه
1-1153-249	پرشی جلوی مرد قانون
1-1153-25	: این موجودات ، نمی‌بینن ، از طریق صدا حمله می‌کنن ، بدن محکمی دارن
1-1153-250	همه‌ش همینه و شوخی هم نیست
1-1153-251	این آدما درک نمی‌کنن که من بی‌پولم
1-1153-252	آشغال ، موش خیابونی
1-1153-253	رذل ، بگیرش
1-1153-254	فقط یه ته‌بندی بچه‌ها
1-1153-255	بندازینش پایین بچه‌ها
1-1153-256	می‌تونم یه اشاره کنم ، مجبوریم رو در رو بشیم
1-1153-257	تو تنها دوست من هستی ابو
1-1153-258	خیلی ناراحت‌کننده است که علاءالدین فقیره
1-1153-259	برازندشه که یه‌تنه جلوی جرم بایسته
1-1153-26	چندتاشون توی منطقه هستن ؟ سه تا
1-1153-260	من والدینش رو مقصر می‌دونم ، مگر این‌که اون‌ها رو نداشته باشه
1-1153-261	مجبوره بخوره تا زنده بمونه ، باید بدزده تا بخوره
1-1153-262	در موردش به همه بگو ، موقعی که وقت داشتم
1-1153-263	پرشی جلوی آدم شل‌و ول ، جست‌وخیزی جلوی سرنوشت بد من
1-1153-264	دفعه‌ی بعد یه اسم مستعار به‌کار خواهم برد
1-1153-265	این‌جاست
1-1153-266	پرسی جلوی آدم‌کش ، ضربه‌ای به کله
1-1153-267	فکر می‌کنم که در اطراف سد قدم می‌زنم
1-1153-268	دزد رو بگیرید ، خراب‌کار
1-1153-269	افتضاحه
1-1153-27	نقطه‌ضعف‌شون چیه ؟
1-1153-270	اجازه بده خیلی عجله نکنیم
1-1153-271	هنوز فکر می‌کنم که اون نسبتاً خوش‌مزه است
1-1153-272	باید بخوره تا زنده بمونه ، باید بدزده تا بخوره
1-1153-273	ما که رفتیم پی کارمون
1-1153-274	اشتباهه
1-1153-275	بگیریدش
1-1153-276	اون یه شمشیر برداشت
1-1153-277	احمق‌ها ، ما همه شمشیر داریم
1-1153-278	پرشی جلوی صدای سم ، خراب‌کار
1-1153-279	پرشی جلوی دست‌انداز ، موش خیابونی
1-1153-28	فهرست فرکانس‌های کوتاه
1-1153-280	حقه‌ای جلوی مصیبت ، رذل
1-1153-281	خیلی سریع هستن . ولی من سریع‌ترم
1-1153-282	بگیر که اومد
1-1153-283	برای من آرزوی فرود خوبی داشته باشید ، همگی بپرید
1-1153-284	افندی عزیز ، ما حالا مهمون هستیم
1-1153-285	بسیار خوب
1-1153-286	بیاید ، اینو بگیرید
1-1153-287	آه ، نکن ، ها ؟
1-1153-288	فکر می‌کنم که داره می‌ره به قصر
1-1153-289	یه خواستگار دیگه برای پرنسس
1-1153-29	شام
1-1153-290	از سر راهم برید کنار بچه‌های ول‌گرد
1-1153-291	! هی
1-1153-292	اگه من به اندازه‌ی تو پول‌دار بودم ، می‌تونستم رفتار بهتری داشته باشم
1-1153-293	رفتار کردن رو بهت یاد خواهم داد
1-1153-294	نگاه کن
1-1153-295	روزی نیست که تو یه اسب رو با دوتا باسن نبینی
1-1153-296	تو یه موش خیابونی بی‌ارزش هستی
1-1153-297	تو یه موش خیابونی به دنیا اومدی و مثل یه موش خیابونی هم خواهی مرد
1-1153-298	و فقط کک‌های بدنت برات ماتم می‌گیرن
1-1153-299	من بی‌ارزش نیستم
1-1153-3	گم‌شدگان ، با پلیس تماس بگیرید
1-1153-30	الآن می‌آم
1-1153-300	و کک هم ندارم
1-1153-301	بیا ابو بزن بریم خونه
1-1153-302	آشغال ، موش خیابونی
1-1153-303	نمی‌خوام بخرمش
1-1153-304	اگه اون‌ها نگاه نزدیک‌تری داشته باشند
1-1153-305	یه بچه‌ی فقیر رو خواهند دید
1-1153-306	نه ، آقای خودم
1-1153-307	آن‌ها کشف خواهند کرد
1-1153-308	چیزهای بیش‌تری وجود خواهد داشت
1-1153-309	برای من
1-1153-31	معذرت می‌خوام
1-1153-310	ابو ، یه روز همه‌چیز عوض خواهد شد
1-1153-311	ما ثروت‌مند خواهیم شد ، در یک قصر
1-1153-312	و هیچ مشکلی نخواهیم داشت
1-1153-313	من هرگز این‌قدر تحقیر نشده بودم
1-1153-314	اوه ، پرنس احمد ، تو که نمی‌خوای این‌قدر زود ما رو ترک کنی ، می‌خوای ؟
1-1153-315	دخترت خوش‌بخت بشه
1-1153-316	عاجزش کردی ، راجا
1-1153-317	پس ، به این دلیله که پرنس احمد طوفان‌زده شده
1-1153-318	اوه ، پدر
1-1153-319	راجا فقط داشت باهاش بازی می کرد ، نبودی راجا ؟
1-1153-32	گوش انسان
1-1153-320	داشتی با اون لباس‌های فاخر بازی می‌کردی
1-1153-321	پرنس احمد تو خودش بود ، نبود ؟
1-1153-322	عزیزم ، تو به تمام کسایی که برای خواستگاریت اومده بودن جواب رد دادی
1-1153-323	قانون می‌گه که تو باید با یه پرنس ازدواج کنی
1-1153-324	تا جشن تولد بعدیت
1-1153-325	قانون اشتباهیه
1-1153-326	تو فقط سه روز مهلت داری
1-1153-327	پدر ، من از اجبار متنفرم
1-1153-328	اگه بخوام ازدواج کنم ، دوست دارم که ازدواج با عشق باشه
1-1153-329	اون فقط قانون نیست
1-1153-33	خوش‌گل شدی
1-1153-330	من تا ابد زنده نخواهم بود ، خب ، من
1-1153-331	فقط می‌خوام مطمئن بشم که تو مواظب خودت هستی
1-1153-332	براش فراهم شد
1-1153-333	لطفاً سعی کن بفهمی
1-1153-334	من هرگز یه چیزی رو خودم انجام ندادم ، من هرگز یه دوست واقعی نداشتم
1-1153-335	به جز راجا
1-1153-336	من حتی تا حالا بیرون از دیوارهای قصر نبودم
1-1153-337	ولی جاسمین ، تو یه پرنسسی
1-1153-338	شاید من نخوام بعد از این یه پرنسس باشم
1-1153-339	خدا نکنه تو یه دختر داشته باشی
1-1153-34	… من که چیزی نگفتم
1-1153-340	هوم ؟
1-1153-341	نمی‌دونم اون از کجا به عمل اومده
1-1153-342	مادرش این‌طوری نبود
1-1153-343	مشاور امین من
1-1153-344	من تو ناامیدی به دانش تو نیاز دارم
1-1153-345	زندگی من برای خدمت به شماست سرورم
1-1153-346	منظورم همین داستان خواستگاریه
1-1153-347	جاسمین از انتخاب همسر طفره می‌ره
1-1153-348	من به آخر خط رسیدم ، آخر خط
1-1153-349	شیرینی می‌خوری ، پرنده‌ی خوش‌گل
1-1153-35	روز چهارصد و هفتاد و سوم
1-1153-350	اعلی‌حضرت مطمئناً راه رفتار با حیوانات زبان‌بسته رو می دونن
1-1153-351	خب ، حالا من می‌تونم یه راه حل رو پیش‌نهاد کنم
1-1153-352	برای این مشکل سخت
1-1153-353	اگه کسی باشه که بتونه کمک کنه اون تویی
1-1153-354	ولی لازمه که از الماس آبی مرموز استفاده بشه
1-1153-355	حلقه‌ی من ؟
1-1153-356	ولی طی سالیان زیاد این برای خانواده‌ی ما بوده
1-1153-357	برای پیدا کردن خواستگار پرنسس لازمه
1-1153-358	نگران نباشید
1-1153-359	همه‌چی درست می‌شه
1-1153-36	فشار سیزده روی هفت
1-1153-360	الماس
1-1153-361	بیا جعفر
1-1153-362	هرچی که بخوای درست می‌شه
1-1153-363	شما بسیار دست‌ودل‌باز هستید سرورم
1-1153-364	حالا برو و به تنهایی با اسباب‌بازی‌های کوچیکت بازی کن .
1-1153-365	بله ، خیلی خوب خواهد بود
1-1153-366	دیگه نمی‌تونم تحملش کنم
1-1153-367	اگه یکی دیگه از این شیرینی‌های کپک‌زده رو می‌خوردم خفه می‌شدم ، شیرینی‌های نفرت‌آور
1-1153-368	می‌زنمش
1-1153-369	آروم باش
1-1153-37	روز تولد
1-1153-370	من به عنوان رئیس انتخاب می‌شم ، می‌زنمش
1-1153-371	به‌زودی من پادشاه خواهم شد نه اون آدم کودن احمق
1-1153-372	و من تمام اون شیرینی‌ها رو می چپونم تو حلقش
1-1153-373	اوه متاسفم راجا
1-1153-374	ولی من نمی‌تونم این‌جا بمونم و زندگیم رو هدر بدم
1-1153-375	دلم برات تنگ می‌شه
1-1153-376	خداحافظ
1-1153-377	بسیار خوب ابو ، برو
1-1153-378	اینو امتحان کنید . قوه‌ی چشایی شما رو به خواندن و رقصیدن وامی‌داره
1-1153-379	بهش دست نزن
1-1153-38	نباید بری اون پایین
1-1153-380	… . برای چی ، تو
1-1153-381	از این‌جا دور شو ، ملعون ، میمون کثیف
1-1153-382	کارت خوب بود ابو
1-1153-383	صبحانه آماده‌ست
1-1153-384	خانم زیبا ، یه قوری بخر
1-1153-385	هیچ ظرف نقره و برنجی بهتر از این پیدا نمی‌کنید
1-1153-386	خرمای شیرین ، خرمای شیرین و ارزان
1-1153-387	خرمای شیرین و پسته
1-1153-388	خانم گردن‌بند دوست دارن ؟
1-1153-389	یه گردن‌بند زیبا برای یه خانم زیبا
1-1153-39	چرا ؟
1-1153-390	ماهی تازه
1-1153-391	ما گرفتیمش شما بخریدش
1-1153-392	نه . فکر نمی‌کنم
1-1153-393	ببخشید
1-1153-394	واقعاً خیلی متاسفم
1-1153-395	اوه ، تو باید گرسنه باشی
1-1153-396	بیا بگیر
1-1153-397	بهتره که پولش رو پرداخت کنی
1-1153-398	پرداخت ؟
1-1153-399	تا حالا هیچ دزدی از درشکه‌ی من انجام نشده
1-1153-4	ما خوبیم
1-1153-40	نمی‌دونی چرا ؟
1-1153-400	اوه ! متاسفم قربان ، من هیچ پولی ندارم
1-1153-401	دزد ، … خواهش می‌کنم
1-1153-402	اگه اجازه بدی برم به قصر ، می‌تونم از سلطان پول بگیرم
1-1153-403	می دونی مجازات دزدی چیه ؟
1-1153-404	نه نه ! خواهش می‌کنم
1-1153-405	متشکرم قربان ، خیلی خوش‌حالم که پیداش کردید
1-1153-406	تا حالا دنبالت می گشتم
1-1153-407	چی‌کار می‌کنی ؟ فقط بازی
1-1153-408	تو ، اوم ، این دختره رو می‌شناسیش ؟
1-1153-409	متاسفانه بله . اون خواهرمه
1-1153-41	می‌رم … سروصدا هم نمی‌کنم
1-1153-410	اون یه خورده قاتی داره
1-1153-411	اون گفت که پادشاه رو می‌شناسه
1-1153-412	اون فکر می‌کنه که میمون همون سلطانه
1-1153-413	اوه سلطان حکیم ، چطور می‌تونم بهتون خدمت کنم ؟
1-1153-414	غم‌انگیزه ، نه ؟
1-1153-415	. ولی مشکلی نیست
1-1153-416	. حالا بیا پیشم خواهر ، موقع رفتن به دکتره
1-1153-417	اوه ، سلام دکتر ، چطوری ؟
1-1153-418	نه ، نه ، نه این نیست ، بیا سلطان
1-1153-419	ها ؟ چی ؟
1-1153-42	این کارو نکن
1-1153-420	برگرد این‌جا ، دزد کوچیک
1-1153-421	با همه احترام ، تو فاسدی
1-1153-422	نمی‌تونستیم منتظر یه توفان واقعی باشیم ؟
1-1153-423	نفست رو حبس کن ایاگو . سریع‌تر
1-1153-424	باشه ، سرور قدرت‌مندم
1-1153-425	بخش ساعت شنی
1-1153-426	آشکار کن که می‌تونه وارد غار بشه
1-1153-427	آره ، آره
1-1153-428	خودشه
1-1153-429	الماس صیقل‌نخورده‌ی من
1-1153-43	خواهش می‌کنم
1-1153-430	خودشه ؟ مسخره‌ست ، منتظر چی هستیم ؟
1-1153-431	اجازه بده به قصر دعوتش کنیم . نکنیم ؟
1-1153-432	ورم
1-1153-433	تقریباً این‌جاست
1-1153-434	می‌خوام ازت به‌خاطر این‌که جلوی اون مرد رو گرفتی تشکر کنم
1-1153-435	آه ، فراموشش کن
1-1153-436	خب ، این اولین باری بود که به بازار می آمدی ، ها ؟
1-1153-437	خیلی تابلو بود ؟
1-1153-438	خب ، خیلی با تعجب به همه‌چی نگاه می‌کردی
1-1153-439	منظورم اینه که ، آه ، به نظر نمی‌رسید که بدونی آگربا چه جای خطرناکیه
1-1153-44	این دفعه ، از این تقویت‌کننده‌ی کوچیک استریو استفاده کن
1-1153-440	اوم ، من سریع یاد می‌گیرم
1-1153-441	بیا ، از این طرف
1-1153-442	آه ، مواظب سرت باش
1-1153-443	مراقب باش
1-1153-444	این‌جا زندگی می‌کنی ؟
1-1153-445	بله فقط من و ابو ، لطفاً دعوت ما رو بپذیر
1-1153-446	شگفت‌آور به نظر می‌رسه
1-1153-447	خب ، نه زیاد ولی یه نمای خیلی قشنگ داره
1-1153-448	. نمای قصر خیلی شگفت‌انگیزه
1-1153-449	اوه واقعاً قشنگه
1-1153-45	این کار نمی‌کنه
1-1153-450	همیشه فکر می‌کنم که اون‌جا زندگی کردن چطور می‌تونه باشه
1-1153-451	و داشتن خدمت‌کار و نوکر
1-1153-452	اوه ، البته . مردمی که بهت می‌گن کجا بری و چی بپوشی
1-1153-453	بهتر از این‌جاست
1-1153-454	تو همیشه برای غذا مجبوری بجنگی و از دست مأموران فرار کنی
1-1153-455	آزاد نیستی تا هرچی رو که خواستی انتخاب کنی
1-1153-456	… . بعضی وقت‌ها احساس می‌کنی که … . تو فقط
1-1153-457	… . در تله افتادی
1-1153-458	بسیار خوب ، اهل کجایی ؟
1-1153-459	چه اهمیتی داره ؟
1-1153-46	… نه ، این یکی فرکانس رو افزایش می‌ده
1-1153-460	من فرار کردم نمی‌خوام دیگه برگردم
1-1153-461	واقعاً ؟ چطور اومدی ؟
1-1153-462	… چرا ، تو
1-1153-463	پدرم اجبار کرده که باید ازدواج کنم
1-1153-464	آن … . خیلی افتضاحه
1-1153-465	این‌جا رو ببین مرد ، یه موش خیابونی
1-1153-466	به‌دستور پرنسس رهاش کنید
1-1153-467	پرنسس جامسین
1-1153-468	با این موش خیابونی خارج از قصر چی‌کار می‌کنید ؟
1-1153-469	. به تو ربطی نداره ، فرمان من رو اجرا کنید . آزادش کنید
1-1153-47	عمراً کار نمی‌کنه
1-1153-470	دلم می خواد پرنسس ولی ، دستور جعفره که دست‌گیرش کنیم
1-1153-471	می‌تونید اونو از جعفر پس بگیرید ، مطمئن باش . حتما این کار رو می‌کنم
1-1153-472	جعفر ؟
1-1153-473	من گیر کردم
1-1153-474	چه خدمتی می‌تونم براتون انجام بدم ؟
1-1153-475	مأمورا یه پسر رو به دستور شما تو بازار دست‌گیر کردن
1-1153-476	پدر شما منو مسئول برقراری امنیت و آرامش در آگربا کرده
1-1153-477	اون پسره یه مجرمه ، جرمش چیه ؟
1-1153-478	. نمی‌تونم نفس بکشم جعفر
1-1153-479	برای چی ؟ برای این‌که پرنسس رو دزدیده بود
1-1153-48	… ولی
1-1153-480	… . اگه می‌تونستی فقط ، آه ، منو زخمی‌کردی
1-1153-481	اون منو ندزدید ، من فرار کردم
1-1153-482	آه ، بانوی من
1-1153-483	چه اتفاق وحشت‌ناکی ، … . ولی باید بگه که
1-1153-484	منظورت چیه ؟
1-1153-485	ناراحت‌کننده‌ست ولی حکم پسره تا حالا اجرا شده
1-1153-486	چه حکمی ؟
1-1153-487	مرگ
1-1153-488	سرش رو بریدن ، نه
1-1153-489	من شدیداً متاسفم پرنسس
1-1153-49	ما به تلاش‌مون ادامه می‌دیم تا کار کنه
1-1153-490	چطور تونستی ؟
1-1153-491	خوب ، چه طور بود ؟
1-1153-492	فکر کنم تا اندازه‌ای خوب گرفت
1-1153-493	تقصیر من بود
1-1153-494	. حتی اسمش رو هم نفهمیدم
1-1153-495	اون پرنسس بود
1-1153-496	نمی‌تونم باور کنم
1-1153-497	باید خیلی احمق به نظرش اومده باشم
1-1153-498	. یو هو ! علاءالدین
1-1153-499	آبو . بیا پایین
1-1153-5	موشک
1-1153-50	بس کن
1-1153-500	بیا کمک کن از این‌جا نجات پیدا کنم
1-1153-501	هی اون تو رنج بود ، آه ، اون ارزشش رو داشت
1-1153-502	. آره ، آره ، آره
1-1153-503	نگران نباش ، هرگز اونو نخواهم دید
1-1153-504	من یه موش خیابونی هستم . یادت می‌آد ؟ و یه قانون وجود داره
1-1153-505	اون باید با یه پرنس ازدواج کنه
1-1153-506	اون لایق یه پرنسه
1-1153-507	من یه احمقم
1-1153-508	تو اگر بی‌خیال بشی یه احمق هستی پسر
1-1153-509	تو کی هستی ؟
1-1153-51	! دیگه بس کن
1-1153-510	یه زندانی دوست‌داشتنی ، مثل خودت
1-1153-511	ولی اگه با هم باشیم شاید وضع‌مون بهتر بشه
1-1153-512	. می‌شنوم
1-1153-513	یه غار وجود داره ، پسر ، یه غار حیرت‌آور
1-1153-514	منطقه ای پر از گنج که فراتر از ، رؤیاههای توست
1-1153-515	شرط می‌بندم که گنج حتی پرنسس تو رو هم تحت تاثیر قرار می‌ده
1-1153-516	جعفر ، می‌تونی عجله کنی ؟ دارم می‌میرم تو این‌جا
1-1153-517	… ولی قانون می‌گه که فقط یه پرنس می‌تونه
1-1153-518	درباره قانون طلایی شنیدی ، نشنیدی ؟
1-1153-519	قانون رو کسی می‌سازه که طلا داشته باشه
1-1153-52	یادت باشه … باید تقسیم کنی
1-1153-520	چرا می‌خوای این گنجینه‌ی شگفت‌انگیز رو با من شریک بشی ؟
1-1153-521	من یه جفت پای سالم و پشت قوی لازم دارم تا به دنبالش برم .
1-1153-522	آه ، مشکلی نیست
1-1153-523	اون بیرونه ، ما این توییم
1-1153-524	مشکلات همیشه اون‌طور که به نظر می‌رسن نیستن
1-1153-525	… خوب
1-1153-526	معامله می‌کنی ؟
1-1153-527	. نمی‌دونم
1-1153-528	کی چرت من رو به هم زده ؟
1-1153-529	منم ، علاءالدین
1-1153-53	ما سه تا عدد داریم
1-1153-530	بیا جلو
1-1153-531	. به هیچ چی جز چراغ دست نزن
1-1153-532	یادت باشه پسر ، اول چراغ رو برام بیار
1-1153-533	بعد جایزه‌ت رو می‌تونی بگیری
1-1153-534	! می‌خوای نگاهش کنی
1-1153-535	فقط یه مشت از این جواهرات می‌تونه ما رو از سلطان هم ثروت‌مندتر کنه
1-1153-536	به هیچ چی … . دست … . نزن
1-1153-537	ما باید چرغ رو پیدا کنیم
1-1153-538	ها ؟
1-1153-539	علاءالدین ، ابو بس می‌کنی ؟
1-1153-54	آفرین
1-1153-540	ابو چی‌کار می‌کنی ، دیوونه ؟
1-1153-541	قالی‌چه‌ی جادویی ؟
1-1153-542	بیا ، بیا بیرون ، ما بهت صدمه‌ای نمی‌زنیم
1-1153-543	. هی ، بی خیال ابو گاز نمی‌گیره
1-1153-544	. ممنون
1-1153-545	صبر کن ، نرو
1-1153-546	. شاید بتونی کمک‌مون کنی
1-1153-547	! هی ! وای
1-1153-548	می دونی ، ما داریم ، دنبال چراغ می گردیم
1-1153-549	. فکر کنم می دونه کجاست
1-1153-55	وقت رفتنه
1-1153-550	. همین جا منتظر بمون
1-1153-551	! اوه
1-1153-552	اینه ؟
1-1153-553	این چیزیه که ما تمام این راه رو به‌خاطرش اومدیم پایین
1-1153-554	کافر
1-1153-555	! تو داری به گنج‌های ممنونه دست می‌زنی
1-1153-556	! دیگه روشنایی روز رو نخواهی دید
1-1153-557	! وای
1-1153-558	گرفتمت
1-1153-559	بزن بریم قالی‌چه
1-1153-56	مجبورم نکن باهاش برم
1-1153-560	! ابو
1-1153-561	. ابو الآن وقت وحشت کردن نیست
1-1153-562	شروع اضطراب
1-1153-563	وای
1-1153-564	! کمک ، چراغ رو پرت کن بالا
1-1153-565	نمی‌تونم نگهش دارم ، دستت رو بده به من
1-1153-566	اول چراغ رو بده
1-1153-567	آره
1-1153-568	سرانجام
1-1153-569	چی‌کار می‌کنی ؟
1-1153-57	چیزیت نمی‌شه
1-1153-570	می‌خوام جایزه‌ت رو بهت بدم
1-1153-571	جایزه‌ی ابدیت
1-1153-572	مال خودمه
1-1153-573	همه‌ش مال منه
1-1153-574	من … . کجاست ؟
1-1153-575	اوه عزیزم
1-1153-576	چی شده ؟
1-1153-577	یه کار وحشت‌ناک کرده
1-1153-578	همه‌چی رو درست می‌کنیم
1-1153-579	. حالا همه‌چیز رو برام بگو
1-1153-58	پدرت همیشه ازت محافظت می‌کنه
1-1153-580	. علاءالدین بیدار شو
1-1153-581	آخ سرم
1-1153-582	! به دام افتادیم
1-1153-583	پدر سوخته‌ی دورو
1-1153-584	هر کسی که بود تا حالا با چراغ رفته
1-1153-585	! آها
1-1153-586	دزد کوچولوی پشمالو
1-1153-587	شبیه یه تکه آهن قراضه‌ی درب و داغون می‌مونه
1-1153-588	هی فکر می‌کنم یه چیزی روش نوشته
1-1153-589	ولی سخته ازش سر دربیاریم
1-1153-59	ببین
1-1153-590	ده هزار سال باعث گرفتگی عضله‌ی گردن‌تون می‌شه
1-1153-591	یه لحظه این‌جا آویزون شو
1-1153-592	احساس خیلی خوبیه که بیرون از اون‌جا باشی
1-1153-593	خوش آمدید ، آقایون و خانم‌ها
1-1153-594	سلام اهل کجایی ؟ اسمت چیه ؟
1-1153-595	سلام علاءالدین ، از حضور شما در برنامه خوش‌حالیم
1-1153-596	« می‌تونیم » « ال » « صدات کنیم ؟ یا شاید » « دین » « بهتر باشه »
1-1153-597	« خانم‌ها چطور ؟ » « مثل این » « این‌جا ، پسر بیا ، خانم »
1-1153-598	سرم باید محکم‌تر از اون چیزی که فکر می‌کردم ضربه خرده شده باشه
1-1153-599	سیگار می‌کشی ؟ می‌تونم سیگار بکشم ؟
1-1153-6	این‌جوری … می‌تونیم از این سیاره فرار کنیم
1-1153-60	تو باید این چیزا رو یاد بگیری
1-1153-600	! متأسفم یوزپلنگ ، امیدوارم پوستت نسوخته باشه
1-1153-601	هی ، آقای قالی‌چه ، چند هزار ساله که دیده نشدی
1-1153-602	بزن قدش ، آره . یو یو
1-1153-603	تو از ارباب قبلی من خیلی کوتاه‌تری
1-1153-604	یا من بزرگ‌تر شدم ، از اون‌ور من قیافم عوض شده ؟
1-1153-605	. یک دقیقه صبر کن ، من ارباب تو هستم ؟
1-1153-606	درسته . اون می‌تونسته یاد بگیره که تو چه آرزویی از من می‌کنی ؟
1-1153-607	همیشه مؤثره
1-1153-608	محتویاتش طولانی بوده
1-1153-609	اغلب تقلید می‌کنه
1-1153-61	اون فقط می‌خواد بهت یاد بده از خودت محافظت کنی
1-1153-610	ولی هرگز تکثیر نمی‌شه
1-1153-611	تکثیر ، … تکثیر
1-1153-612	غوله …
1-1153-613	چراغ
1-1153-614	درست از چراغ هدایت می‌شه
1-1153-615	این‌جاست برای برآورده کردن آرزوهای بسیار
1-1153-616	ممنون
1-1153-617	برآورده کردن آرزوها ؟
1-1153-618	در حقیقت سه آرزو
1-1153-619	نمی‌تونی آرزو کنی که تعداد آرزوهات بیش‌تر بشه
1-1153-62	همین طور از من
1-1153-620	سه تاست . یک ، دو ، سه
1-1153-621	جانشین ، تغییر یا بازپرداختی نیست
1-1153-622	. می‌دونم که تو رؤیا هستم
1-1153-623	. فکر نمی‌کنم که بفهمی چی به دست آوردی
1-1153-624	خب چرا درباره‌ش فکر نمی‌کنی ؟
1-1153-625	. در حالی‌که من ممکن‌ها رو نشون می‌دم
1-1153-626	. خب ، علی بابا چهل دزد داشت
1-1153-627	. شهرزاد هزار داستان داشت
1-1153-628	. ولی تو خوش‌شانسی ارباب ، . چون همه‌چیز رو تو آستینت داری
1-1153-629	. تو نوعی جادو داری که هرگز باطل نمی‌شه
1-1153-63	… وقتی پیر شدم
1-1153-630	. الآن در خلوت خودت قدرت زیادی داری
1-1153-631	مقداری مهمات سنگین در اردوگاه خودت داری
1-1153-632	مقداری نیرو در مشت خودت داری
1-1153-633	ببین ، همه‌ی شما باید اون چراغ رو بدزدید و من خواهم گفت
1-1153-634	آقای علاءالدین ، قربان ، چه لذتی خواهید برد
1-1153-635	اجازه بدید من دستور شما رو جزء به جزء اجرا کنم
1-1153-636	هرگز دوستی مثل من نداشتی
1-1153-637	زندگی رستورانی برای شما و من سرپیش‌خدمتشما هستم
1-1153-638	بیا درگوشی بگو ببینم چی می‌خوای
1-1153-639	هرگز دوستی مثل من نداشتی
1-1153-64	… موهام سفید شد
1-1153-640	بله ، قربان ، ما افتخار می‌کنیم که در خدمت شما هستیم
1-1153-641	شما رئیسی ، سلطانی ، شاهی
